N,A,P,totalSent,ticks,throughput,averageDelay
30,1,0.01,2803,100000000,2.803E-5,52603.84766321798
30,2,0.01,4735,100000000,4.735E-5,129226.16810982049
30,3,0.01,5873,100000000,5.873E-5,174350.8731483058
30,4,0.01,6141,100000000,6.141E-5,239760.55902947404
30,5,0.01,5894,100000000,5.894E-5,310526.9221241941
30,6,0.01,6274,100000000,6.274E-5,307535.98071405804
30,7,0.01,6320,100000000,6.32E-5,332046.11455696204
30,8,0.01,6250,100000000,6.25E-5,350918.29792
30,9,0.01,6277,100000000,6.277E-5,365086.9609686156
30,10,0.01,6341,100000000,6.341E-5,372535.02712505916
30,1,0.1,3003,100000000,3.003E-5,16857.59507159507
30,2,0.1,5245,100000000,5.245E-5,70027.63050524308
30,3,0.1,6762,100000000,6.762E-5,104745.63753327417
30,4,0.1,7510,100000000,7.51E-5,150831.0950732357
30,5,0.1,7742,100000000,7.742E-5,187007.3270472746
30,6,0.1,7782,100000000,7.782E-5,218755.15407350296
30,7,0.1,7859,100000000,7.859E-5,238630.65555414176
30,8,0.1,7879,100000000,7.879E-5,247631.52405127554
30,9,0.1,7893,100000000,7.893E-5,269099.00266058533
30,10,0.1,7895,100000000,7.895E-5,281794.8436985434
30,1,1.0,2894,100000000,2.894E-5,27209.397028334486
30,2,1.0,5592,100000000,5.592E-5,38617.13322603719
30,3,1.0,7311,100000000,7.311E-5,75040.76979893312
30,4,1.0,8202,100000000,8.202E-5,112827.59387954157
30,5,1.0,8201,100000000,8.201E-5,165367.66248018533
30,6,1.0,8231,100000000,8.231E-5,194448.65775725915
30,7,1.0,8229,100000000,8.229E-5,212847.80058330295
30,8,1.0,8232,100000000,8.232E-5,237992.02295918367
30,9,1.0,8235,100000000,8.235E-5,251445.0
30,10,1.0,8235,100000000,8.235E-5,263845.2842744384
